00000000, ffffffff, 00000000, ffffffff, 0, 1, 00000000, ffffffff, 0, 1,                 2123                  123
31b20b63, ce4df49c, 2e58495c, d1a7b6a3, 1, 0, 600a54c0, 9ff5ab3f, 0, 1,                10312                  247
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                10455                  143
ded292bd, 212d6d42, 96ab582d, 6954a7d2, 1, 0, 757deaeb, 8a821514, 1, 0,                10633                  178
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                10775                  142
b0bbe261, 4f441d9e, b1ef6263, 4e109d9c, 0, 1, 62ab44c4, 9d54bb3b, 1, 0,                10906                  131
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                11048                  142
f1d496e3, 0e2b691c, c03b2280, 3fc4dd7f, 0, 1, b20fb963, 4df0469c, 1, 0,                11244                  196
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                11386                  142
08010510, f7fefaef, 557845aa, aa87ba55, 1, 0, 5d794abb, a286b544, 0, 1,                11571                  185
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                11714                  143
790201f2, 86fdfe0d, cb203e96, 34dfc169, 1, 0, 44224089, bbddbf76, 1, 0,                11928                  214
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                12070                  142
ff599efe, 00a66101, 86bc380d, 7943c7f2, 1, 0, 8615d70c, 79ea28f3, 1, 0,                12252                  182
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                12395                  143
a446be48, 5bb941b7, 359fdd6b, ca602294, 1, 0, d9e69bb4, 2619644b, 0, 1,                12559                  164
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                12701                  142
e15df8c2, 1ea2073d, 81174a02, 7ee8b5fd, 0, 1, 627542c4, 9d8abd3b, 1, 0,                12846                  145
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                12987                  141
34d12d69, cb2ed296, 0effe91d, f10016e2, 1, 0, 43d11687, bc2ee978, 0, 1,                13152                  165
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                13294                  142
1652d92c, e9ad26d3, 11844923, ee7bb6dc, 0, 1, 27d7224f, d828ddb0, 0, 1,                13490                  196
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                13632                  142
ed3af2da, 12c50d25, e5730aca, 1a8cf535, 0, 1, d2adfda4, 2d52025b, 1, 0,                13842                  210
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                13983                  141
e844e2d0, 17bb1d2f, 7968bdf2, 8697420d, 0, 1, 61ada0c2, 9e525f3d, 1, 0,                14180                  197
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                14324                  144
5f54e5be, a0ab1a41, 20c4b341, df3b4cbe, 0, 1, 801998ff, 7fe66700, 0, 1,                14571                  247
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                14713                  142
89aaf013, 76550fec, 3c20f378, c3df0c87, 1, 0, c5cbe38c, 3a341c73, 0, 1,                14862                  149
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                15004                  142
db0de0b6, 24f21f49, 75c50deb, 8a3af214, 0, 1, 50d2eea1, af2d115e, 1, 0,                15168                  164
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                15312                  144
fda77efb, 02588104, 634bf9c6, 9cb40639, 0, 1, 60f378c1, 9f0c873e, 1, 0,                15492                  180
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                15636                  144
1cacb339, e3534cc6, de7502bc, 218afd43, 0, 1, fb21b5f5, 04de4a0a, 0, 1,                15785                  149
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                15928                  143
6cc0ffd9, 933f0026, 85d79a0b, 7a2865f4, 1, 0, f29899e5, 0d67661a, 0, 1,                16092                  164
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                16234                  142
e154f2c2, 1eab0d3d, 42f24185, bd0dbe7a, 1, 0, 24473448, dbb8cbb7, 1, 0,                16396                  162
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                16538                  142
b2a94665, 4d56b99a, 9dcc603b, 62339fc4, 0, 1, 5075a6a0, af8a595f, 1, 0,                16719                  181
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                16861                  142
ef8ee4df, 10711b20, bf23327e, 40dccd81, 1, 0, aeb2175e, 514de8a1, 1, 0,                17022                  161
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                17166                  144
f96be2f2, 06941d0d, 78d99bf1, 8726640e, 1, 0, 72457ee4, 8dba811b, 1, 0,                17345                  179
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                17488                  143
164a572c, e9b5a8d3, 31230762, cedcf89d, 0, 1, 476d5e8e, b892a171, 0, 1,                17651                  163
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                17792                  141
f41b7ae8, 0be48517, 4fa1559f, b05eaa60, 1, 0, 43bcd088, bc432f77, 1, 0,                17971                  179
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                18114                  143
579485af, a86b7a50, 7c6da9f8, 83925607, 1, 0, d4022fa8, 2bfdd057, 0, 1,                18346                  232
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                18489                  143
2ed6355d, d129caa2, cfc4569f, 303ba960, 0, 1, fe9a8bfc, 01657403, 0, 1,                18666                  177
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                18809                  143
94f8f429, 6b070bd6, adcbc05b, 52343fa4, 1, 0, 42c4b485, bd3b4b7a, 1, 0,                18973                  164
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                19114                  141
e3b912c7, 1c46ed38, a4ae3249, 5b51cdb6, 0, 1, 88674510, 7798baef, 1, 0,                19280                  166
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                19422                  142
d2455ea4, 2dbaa15b, ebfec0d7, 14013f28, 1, 0, be441f7c, 41bbe083, 1, 0,                19595                  173
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                19738                  143
441a5388, bbe5ac77, 4b212f96, b4ded069, 0, 1, 8f3b831e, 70c47ce1, 0, 1,                19937                  199
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                20080                  143
30287f60, cfd7809f, e12ccec2, 1ed3313d, 0, 1, 11554e22, eeaab1dd, 1, 0,                20225                  145
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                20368                  143
1b22cd36, e4dd32c9, bb825a77, 447da588, 1, 0, d6a527ae, 295ad851, 0, 1,                20528                  160
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                20670                  142
4ae40195, b51bfe6a, 090cdb12, f6f324ed, 0, 1, 53f0dca7, ac0f2358, 0, 1,                20863                  193
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                21006                  143
8a9e5815, 7561a7ea, 36e5816d, c91a7e92, 1, 0, c183d983, 3e7c267c, 0, 1,                21189                  183
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                21331                  142
62095bc4, 9df6a43b, 0fd28f1f, f02d70e0, 1, 0, 71dbeae4, 8e24151b, 0, 1,                21509                  178
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                21652                  143
549b25a9, ab64da56, 42d92f85, bd26d07a, 0, 1, 9774552e, 688baad1, 0, 1,                21798                  146
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                21940                  142
c4f9b489, 3b064b76, 2dda595b, d225a6a4, 1, 0, f2d40de5, 0d2bf21a, 0, 1,                22135                  195
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                22278                  143
1c302338, e3cfdcc7, 9ff2ae3f, 600d51c0, 0, 1, bc22d177, 43dd2e88, 0, 1,                22459                  181
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                22603                  144
24a0b949, db5f46b6, 2c156358, d3ea9ca7, 0, 1, 50b61ca1, af49e35e, 0, 1,                22764                  161
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                22906                  142
3582576b, ca7da894, c71a0c8e, 38e5f371, 0, 1, fc9c63f9, 03639c06, 0, 1,                23098                  192
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                23240                  142
cda2869b, 325d7964, 7d3599fa, 82ca6605, 0, 1, 4ad82095, b527df6a, 1, 0,                23436                  196
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                23578                  142
70e14be1, 8f1eb41e, 39961773, c669e88c, 1, 0, aa776355, 55889caa, 0, 1,                23743                  165
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                23886                  143
1ef4853d, e10b7ac2, 9799a82f, 686657d0, 1, 0, b68e2d6d, 4971d292, 0, 1,                24032                  146
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                24175                  143
b6925e6d, 496da192, afd8565f, 5027a9a0, 0, 1, 666ab4cc, 99954b33, 1, 0,                24321                  146
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                24464                  143
ff9944ff, 0066bb00, 7bf8fdf7, 84070208, 1, 0, 7b9242f7, 846dbd08, 1, 0,                24625                  161
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                24770                  145
b8a33071, 475ccf8e, f3091ae6, 0cf6e519, 0, 1, abac4b57, 5453b4a8, 1, 0,                24933                  163
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                25076                  143
52f767a5, ad08985a, 14cfc129, eb303ed6, 1, 0, 67c728cf, 9838d730, 0, 1,                25239                  163
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                25381                  142
65daf9cb, 9a250634, ed536cda, 12ac9325, 1, 0, 532e66a6, acd19959, 1, 0,                25525                  144
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                25667                  142
a603784c, 59fc87b3, da8ae2b5, 25751d4a, 1, 0, 808e5b02, 7f71a4fd, 1, 0,                25865                  198
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                26008                  143
94a2ec29, 6b5d13d6, 3cf11979, c30ee686, 0, 1, d19405a2, 2e6bfa5d, 0, 1,                26220                  212
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                26362                  142
3834cf70, c7cb308f, e8740cd0, 178bf32f, 0, 1, 20a8dc40, df5723bf, 1, 0,                26522                  160
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                26665                  143
7e7da1fc, 81825e03, 55f6adab, aa095254, 0, 1, d4744fa7, 2b8bb058, 0, 1,                26828                  163
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                26971                  143
49fd6f93, b602906c, 6e5daddc, 91a25223, 0, 1, b85b1d6f, 47a4e290, 0, 1,                27153                  182
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                27296                  143
8c655e18, 739aa1e7, fedf72fd, 01208d02, 1, 0, 8b44d116, 74bb2ee9, 1, 0,                27461                  165
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                27605                  144
ef3ce8de, 10c31721, 2b0eed56, d4f112a9, 0, 1, 1a4bd634, e5b429cb, 1, 0,                27751                  146
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                27894                  143
92299024, 6dd66fdb, b3d97667, 4c268998, 0, 1, 4603068b, b9fcf974, 1, 0,                28092                  198
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                28234                  142
b6e6346d, 4919cb92, 5b6fb9b6, a4904649, 0, 1, 1255ee23, edaa11dc, 1, 0,                28396                  162
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                28540                  144
5aa31fb5, a55ce04a, 3cd18779, c32e7886, 0, 1, 9774a72e, 688b58d1, 0, 1,                28704                  164
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                28846                  142
f9d09ef3, 062f610c, 4a74bf94, b58b406b, 1, 0, 44455e88, bbbaa177, 1, 0,                29007                  161
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                29150                  143
4057c980, bfa8367f, 823f2c04, 7dc0d3fb, 1, 0, c296f585, 3d690a7a, 0, 1,                29308                  158
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                29451                  143
c16b9682, 3e94697d, 6dcb69db, 92349624, 1, 0, 2f37005e, d0c8ffa1, 1, 0,                29699                  248
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                29842                  143
ede48adb, 121b7524, 6cb0b7d9, 934f4826, 1, 0, 5a9542b5, a56abd4a, 1, 0,                30020                  178
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                30162                  142
a3cd9c47, 5c3263b8, bb45e276, 44ba1d89, 0, 1, 5f137ebd, a0ec8142, 1, 0,                30377                  215
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                30519                  142
3747016e, c8b8fe91, 5b172db6, a4e8d249, 1, 0, 925e2f25, 6da1d0da, 0, 1,                30669                  150
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                30812                  143
dd561cba, 22a9e345, a3071a46, 5cf8e5b9, 0, 1, 805d3700, 7fa2c8ff, 1, 0,                31026                  214
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                31169                  143
b8ddbe71, 4722418e, 7bd261f7, 842d9e08, 1, 0, 34b02069, cb4fdf96, 1, 0,                31383                  214
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                31526                  143
08da4f11, f725b0ee, da6ebab4, 2591454b, 0, 1, e34909c5, 1cb6f63a, 0, 1,                31703                  177
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                31846                  143
7ab7b7f5, 8548480a, 147cd928, eb8326d7, 1, 0, 8f34911e, 70cb6ee1, 0, 1,                32009                  163
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                32151                  142
4e15179c, b1eae863, e3c530c7, 1c3acf38, 0, 1, 31da4863, ce25b79c, 1, 0,                32318                  167
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                32461                  143
ae8a965d, 517569a2, 8477e408, 7b881bf7, 0, 1, 33027a65, ccfd859a, 1, 0,                32674                  213
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                32816                  142
62d1e3c5, 9d2e1c3a, fea7a6fd, 01585902, 1, 0, 61798ac3, 9e86753c, 1, 0,                32981                  165
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                33123                  142
ac682658, 5397d9a7, 8e37901c, 71c86fe3, 0, 1, 3a9fb674, c560498b, 1, 0,                33342                  219
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                33485                  143
7e0a91fc, 81f56e03, ed3408da, 12cbf725, 1, 0, 6b3e9ad7, 94c16528, 1, 0,                33681                  196
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                33824                  143
060aad0c, f9f552f3, 334ea766, ccb15899, 0, 1, 39595472, c6a6ab8d, 0, 1,                33973                  149
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                34116                  143
0cf04519, f30fbae6, b9f50473, 460afb8c, 0, 1, c6e5498c, 391ab673, 0, 1,                34263                  147
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                34405                  142
d2504ca4, 2dafb35b, 2f3ab35e, d0c54ca1, 0, 1, 018b0002, fe74fffd, 1, 0,                34740                  335
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                34884                  144
c8975291, 3768ad6e, 6a8e05d5, 9571fa2a, 0, 1, 33255866, ccdaa799, 1, 0,                35046                  162
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                35188                  142
a23d6044, 5dc29fbb, dcf000b9, 230fff46, 1, 0, 7f2d60fe, 80d29f01, 1, 0,                35405                  217
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                35548                  143
67be1dcf, 9841e230, 4b273796, b4d8c869, 0, 1, b2e55565, 4d1aaa9a, 0, 1,                35696                  148
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                35838                  142
d69de2ad, 29621d52, 13259f26, ecda60d9, 0, 1, e9c381d3, 163c7e2c, 0, 1,                36036                  198
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                36178                  142
c2e6ee85, 3d19117a, 3e99837d, c1667c82, 0, 1, 01807202, fe7f8dfd, 1, 0,                36409                  231
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                36551                  142
b91dca72, 46e2358d, 43615786, bc9ea879, 0, 1, fc7f21f8, 0380de07, 0, 1,                36748                  197
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                36889                  141
89bcdc13, 764323ec, 3f5a9b7e, c0a56481, 1, 0, c9177792, 36e8886d, 0, 1,                37053                  164
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                37195                  142
bd70687a, 428f9785, e7c3b6cf, 183c4930, 1, 0, a5341f4a, 5acbe0b5, 1, 0,                37376                  181
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                37520                  144
cf7baa9e, 30845561, fd28e4fa, 02d71b05, 1, 0, cca48f99, 335b7066, 1, 0,                37678                  158
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                37821                  143
16decb2d, e92134d2, 0b940917, f46bf6e8, 1, 0, 2272d445, dd8d2bba, 0, 1,                37983                  162
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                38125                  142
68d2abd1, 972d542e, 43779186, bc886e79, 0, 1, ac4a3d57, 53b5c2a8, 0, 1,                38288                  163
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                38430                  142
4c551998, b3aae667, 7a8c59f5, 8573a60a, 1, 0, c6e1738e, 391e8c71, 0, 1,                38581                  151
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                38723                  142
887a9610, 778569ef, 949a8a29, 6b6575d6, 1, 0, 1d15203a, e2eadfc5, 1, 0,                38888                  165
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                39031                  143
18c6f931, e73906ce, e2e574c5, 1d1a8b3a, 0, 1, fbac6df6, 04539209, 0, 1,                39226                  195
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                39369                  143
e87676d0, 1789892f, 25b27b4b, da4d84b4, 1, 0, 0e28f21c, f1d70de3, 1, 0,                39532                  163
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                39674                  142
9f82ec3f, 607d13c0, f622e6ec, 09dd1913, 0, 1, 95a5d32b, 6a5a2cd4, 1, 0,                39821                  147
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                39964                  143
4cb77d99, b3488266, 2758d14e, d8a72eb1, 0, 1, 74104ee7, 8befb118, 0, 1,                40163                  199
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                40306                  143
3bccb377, c4334c88, 549efda9, ab610256, 1, 0, 906bb121, 6f944ede, 0, 1,                40484                  178
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                40627                  143
f89beaf1, 0764150e, 070bb90e, f8f446f1, 0, 1, ffa7a3ff, 00585c00, 0, 1,                40891                  264
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                41033                  142
e8d6a2d1, 17295d2e, cfd6c09f, 30293f60, 0, 1, b8ad6370, 47529c8f, 1, 0,                41198                  165
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                41340                  142
fb80eaf7, 047f1508, 155a1d2a, eaa5e2d5, 1, 0, 10db0822, ef24f7dd, 1, 0,                41538                  198
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                41681                  143
daf214b5, 250deb4a, 4f75ff9e, b08a0061, 0, 1, 2a681453, d597ebac, 1, 0,                41897                  216
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                42041                  144
b15f7462, 4ea08b9d, bccfa879, 43305786, 0, 1, 6e2f1cdb, 91d0e324, 1, 0,                42200                  159
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                42343                  143
548eb7a9, ab714856, 652345ca, 9adcba35, 1, 0, b9b1fd74, 464e028b, 0, 1,                42537                  194
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                42679                  142
ab2c2a56, 54d3d5a9, 35a0c96b, ca5f3694, 1, 0, e0ccf3c2, 1f330c3d, 0, 1,                42859                  180
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                43001                  142
7960fbf2, 869f040d, 5b0bddb6, a4f42249, 0, 1, d46cd9a8, 2b932657, 0, 1,                43148                  147
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                43291                  143
17723f2e, e88dc0d1, 6216abc4, 9de9543b, 1, 0, 7988eaf3, 8677150c, 0, 1,                43454                  163
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                43595                  141
